Model,Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,0.8069552874378992,0.6758620689655173,0.5240641711229946,0.5903614457831325,0.8445865302642797
Logistic Regression,0.8069552874378992,0.6583850931677019,0.5668449197860963,0.6091954022988506,0.841778397788628
